# Resolved addresses found in D:\College\Semester-5\FCS_FoundationstoComputerSecurity\Foundations-to-Computer-Security-Assignments\Assignment-3\HW3_Resources\Part 5\log.pcap

# Comments
#
# No entries.

# Hosts
#
# 662 entries.

74.125.225.33	www-google-analytics.l.google.com
192.122.184.91	a1726.dscg.akamai.net
194.109.21.66	dl.xs4all.nl
50.17.40.237	pixel.prod2.invitemedia.com
23.3.8.26	n7c.akamaiedge.net
74.125.225.39	www-google-analytics.l.google.com
192.122.184.97	a227.da1.akamai.net
68.180.130.15	yf2.yahoo.com
64.94.107.30	anycast-americas.quantserve.com.akadns.net
157.166.226.109	www.money.com
74.125.225.45	pagead.l.doubleclick.net
202.148.152.225	ns2.domainnetwork.se
61.213.146.7	n3dsw4.akamai.net
74.125.225.51	www2.l.google.com
72.21.91.113	cs84.wac.edgecastcdn.net
141.211.125.15	dns2.itd.umich.edu
65.23.133.213	russelljohns.com
74.125.225.57	pagead.l.doubleclick.net
138.108.7.150	collectioncin-gtm2.nielsen.com
64.94.107.48	anycast-americas.quantserve.com.akadns.net
74.86.10.130	www.rinkworks.com
198.63.196.225	n0g.akamaiedge.net
208.78.71.3	ns3.p03.dynect.net
72.21.81.253	ne.edgecastcdn.net
66.171.230.20	n0dspe1.akamaiedge.net
64.94.107.54	ac-na.quantserve.com.akadns.net
204.13.251.2	ns4.p02.dynect.net
141.211.48.10	ctools.umich.edu
38.122.38.22	wikia.com
170.149.173.133	dns.sea1.nytimes.com
66.114.53.22	puma.vizu.com.cdngc.net
23.63.195.172	e872.g.akamaiedge.net
54.240.160.108	d1z2jf7jlzjs58.cloudfront.net
204.13.251.8	ns4.p08.dynect.net
66.235.132.232	condenast.112.2o7.net
54.240.160.239	d31qbv1cthcecs.cloudfront.net
66.235.139.121	condenast.112.2o7.net
76.74.254.120	lb.wordpress.com
31.13.77.42	scontent-01.xx.fbcdn.net
193.108.88.195	n4c.akamaiedge.net
204.13.251.14	ns4.p14.dynect.net
66.220.158.70	facebook.com
74.125.225.212	www.google.com
23.15.7.75	a1725.dspl.akamai.net
98.142.96.14	dns14.cotdns.net
64.208.21.38	n0b.akamai.net
23.63.204.20	e2943.e11.akamaiedge.net
120.89.70.11	any-ns4.mirrorimage.net
4.23.35.51	d.ns.itmdb.net
54.240.160.251	d31qbv1cthcecs.cloudfront.net
74.52.120.71	klisf.info
141.211.144.15	dns.itd.umich.edu
69.171.234.21	facebook.com
159.54.242.179	m.usatoday.com.akadns.net
50.19.108.122	ping.chartbeat.net
66.203.199.203	dns2.cidc.telus.com
208.93.139.110	orig-10003.taboola.cotcdn.net
74.200.243.251	lb.wordpress.com
138.108.6.150	collectionleb-gtm1.nielsen.com
208.82.6.22	www.careerbuilder.com
207.241.145.25	nydns2.about.com
69.171.237.16	facebook.com
74.125.233.24	id.l.google.com
205.251.195.205	ns-973.awsdns-57.net
208.78.70.3	ns1.p03.dynect.net
157.166.226.169	dmtns01.turner.com
173.245.58.121	jean.ns.cloudflare.com
199.59.148.10	twitter.com
204.13.250.2	ns2.p02.dynect.net
72.21.192.215	ns-921.amazon.com
204.11.108.12	ns2.tribalfusion.com
64.152.208.66	goku2.brightcove.com
